size	1	2	4
4050000	55.962551	38.539934	15.133294	
4075000	56.079166	29.856131	36.569929	
4100000	56.994501	35.187477	55.792840	
4125000	63.960931	28.461459	14.871090	
4150000	59.227740	32.096562	14.558918	
4175000	57.786064	35.443716	15.024094	
4200000	57.664804	32.164150	29.821429	
4225000	58.717802	36.540642	50.939831	
4250000	60.443839	29.355953	14.833077	
4275000	63.496092	30.506535	15.078510	
4300000	58.893185	33.452263	15.239313	
4325000	59.594900	33.962137	15.392183	
4350000	59.878478	35.161962	15.658109	
4375000	62.258172	32.995265	41.657261	
4400000	62.047136	30.375123	15.546689	
4425000	60.987711	30.546472	66.957593	
4450000	66.194557	32.230896	15.578812	
4475000	64.159104	30.997468	15.723975	
4500000	63.202255	31.231018	16.043397	
4525000	68.340340	31.360221	41.550735	
4550000	65.874523	31.477426	16.461994	
4575000	63.717986	31.604088	42.741124	
4600000	70.294814	31.767923	45.663817	
4625000	71.917361	32.422577	16.190625	
4650000	81.079970	32.766780	45.342247	
4675000	69.567205	32.087237	17.189785	
4700000	69.626125	32.410700	16.475914	
4725000	68.178169	32.695628	16.570122	
4750000	68.820829	32.740274	33.769240	
4775000	68.895379	33.011680	55.310296	
4800000	69.204376	33.090118	17.118538	
4825000	69.747472	36.109246	16.948165	
4850000	74.580080	33.550181	16.985140	
4875000	69.642646	34.151486	17.168118	
4900000	69.204836	39.922618	17.181462	
4925000	67.739140	34.462029	44.656803	
4950000	73.610307	34.213213	17.529929	
4975000	71.735839	35.401081	58.386380	
5000000	69.695293	34.721803	18.320728	
5025000	70.253162	34.654746	42.945159	
5050000	79.501926	34.936483	18.456439	
5075000	73.352548	34.931071	57.671449	
5100000	71.749808	35.179144	17.884761	
5125000	74.140846	35.320271	17.945546	
5150000	71.849592	35.442886	34.930008	
5175000	71.788432	35.839600	18.255822	
5200000	72.223211	35.961999	18.362042	
5225000	74.475183	36.335368	18.406985	
5250000	76.963255	47.053800	18.517005	
5275000	74.472402	36.656037	18.505532	
5300000	77.187142	46.340270	28.083607	
5325000	75.666362	36.841606	20.843142	
5350000	75.486447	36.838089	24.013376	
5375000	75.540039	36.952334	60.796154	
5400000	76.438069	37.254234	20.539388	
5425000	74.940700	37.445982	60.356774	
5450000	75.278757	37.847544	19.435311	
5475000	79.587322	37.886265	19.136838	
5500000	85.309006	37.867634	19.367631	
5525000	78.407705	39.595336	63.217978	
5550000	76.760856	38.290150	55.107505	
5575000	76.557329	39.198225	19.640670	
5600000	78.280169	43.301530	19.595019	
5625000	83.719880	38.827352	19.895300	
5650000	86.747376	38.991954	20.456470	
5675000	86.914611	39.064544	19.897822	
5700000	88.558512	39.136737	26.177522	
5725000	81.184842	39.450345	20.021971	
5750000	84.661280	39.949966	50.052560	
5775000	84.237567	39.828352	56.711215	
5800000	81.935359	40.547868	60.301962	
5825000	83.754963	44.873686	21.150920	
5850000	82.039322	44.628441	21.154234	
5875000	81.721047	40.665997	21.328142	
5900000	83.280506	40.771729	20.800829	
5925000	85.933641	40.981848	23.092260	
5950000	81.690719	41.040607	20.765366	
5975000	89.527660	45.341574	21.065407	
6000000	87.508269	41.836862	21.223693	
6025000	84.777551	42.465636	25.014549	
6050000	84.347357	41.487752	21.145081	
6075000	84.734992	41.853478	21.391242	
6100000	88.064140	42.283488	22.236649	
6125000	84.874882	42.334690	30.312973	
6150000	85.459583	44.376911	25.640972	
6175000	86.735694	42.822803	21.887465	
6200000	85.931453	46.438451	21.629541	
6225000	90.939107	44.400904	24.388200	
6250000	93.650314	43.357505	28.573316	
6275000	91.504648	57.106673	36.575201	
6300000	90.483119	43.422632	22.821141	
6325000	92.517185	43.482309	23.233419	
6350000	94.212610	43.493801	22.202634	
6375000	90.257082	43.702876	22.125329	
6400000	91.953709	44.016043	22.495085	
6425000	92.418218	44.200488	22.303830	
6450000	93.453375	44.361607	22.557494	
6475000	97.616209	45.035463	22.854883	
6500000	105.271713	44.703307	69.798328	
6525000	89.557847	48.369886	23.546389	
6550000	90.440626	45.097387	63.577392	
6575000	89.920663	53.822336	24.275993	
6600000	92.022390	45.334386	65.879382	
6625000	101.569645	48.887377	61.509384	
6650000	95.282373	57.506125	60.782007	
6675000	92.720618	46.111556	62.677833	
6700000	101.266492	46.339500	60.396531	
6725000	95.587388	46.647552	62.817576	
6750000	92.884907	62.461121	59.405265	
6775000	99.417352	46.535971	63.288135	
6800000	94.929599	64.681617	58.995159	
6825000	99.492592	46.975370	23.821020	
6850000	98.254063	52.529666	26.744227	
6875000	97.976989	47.273384	49.313609	
6900000	96.301986	47.803484	24.267637	
6925000	97.537194	48.052899	88.359038	
6950000	102.591734	56.043404	24.851368	
6975000	103.688720	48.134152	49.325050	
7000000	103.423908	48.080858	29.661089	
7025000	100.307425	48.411300	70.140851	
7050000	96.972910	54.859875	62.524105	
7075000	104.547891	49.037906	64.194365	
7100000	101.910252	58.251150	65.642403	
7125000	97.686876	59.772764	72.142036	
7150000	109.173808	49.737746	27.804046	
7175000	100.263831	50.056410	64.129679	
7200000	98.754169	64.481039	40.997981	
7225000	111.074234	49.625780	61.730079	
7250000	99.467314	53.949524	71.275337	
7275000	99.756586	52.174833	25.414963	
7300000	102.136531	50.277231	25.882571	
7325000	107.377644	50.605383	25.770360	
7350000	102.830620	58.953527	25.719463	
7375000	103.862181	50.689645	65.931781	
7400000	101.251623	57.673985	64.223593	
7425000	103.711768	54.088328	62.735947	
7450000	102.485885	56.965757	25.984776	
7475000	103.001748	51.452396	26.286079	
7500000	110.999213	51.454473	26.423831	
7525000	105.775938	52.122652	26.395695	
7550000	110.897670	52.002237	26.286297	
7575000	103.857138	52.055969	79.307742	
7600000	108.863513	61.220779	66.704034	
7625000	112.377912	52.580466	26.597453	
7650000	105.011140	52.512651	51.650369	
7675000	107.003682	56.845431	72.342718	
7700000	106.328525	53.828581	80.877244	
7725000	110.977658	58.905287	67.348255	
7750000	107.282715	54.383168	26.975248	
7775000	106.674792	53.780130	28.178761	
7800000	111.090122	54.127521	64.439004	
7825000	117.686656	60.497359	78.103473	
7850000	109.828190	54.394446	60.420813	
7875000	108.903783	56.334606	80.868603	
7900000	108.453959	55.507216	77.543122	
7925000	112.197925	56.642174	59.452922	
7950000	114.246231	54.813389	27.678208	
7975000	113.455194	54.969838	29.088204	
8000000	115.424232	54.949684	28.615057	
8025000	111.352071	55.184454	28.499294	
8050000	118.594351	55.269847	53.077688	
8075000	113.279120	56.803887	67.436069	
8100000	120.660309	59.378549	69.575689	
8125000	112.734752	56.417051	71.139061	
8150000	114.322605	56.189716	91.708040	
8175000	114.624974	56.391960	62.958390	
8200000	116.523378	56.623278	31.035663	
8225000	115.645224	56.632194	86.119532	
8250000	115.874258	57.236001	28.961183	
8275000	115.192377	59.200296	30.594863	
8300000	118.953587	59.985314	29.757788	
8325000	116.667493	59.162436	62.111559	
8350000	114.886541	58.363733	45.087051	
8375000	118.404567	58.207286	75.425871	
8400000	115.911915	58.273384	79.401220	
8425000	117.250363	59.362044	52.479397	
8450000	122.208077	63.047536	31.149379	
8475000	121.152825	58.255000	93.510721	
8500000	120.648262	58.278926	30.018470	
8525000	129.664821	59.491196	31.812344	
8550000	117.482001	66.105582	41.669359	
8575000	124.149498	59.036646	30.866899	
8600000	120.971612	59.069150	30.767265	
8625000	118.553098	59.533381	30.016988	
8650000	121.504144	59.474307	68.615429	
8675000	122.582953	59.974532	74.537281	
8700000	120.190266	60.221284	66.383630	
8725000	120.000325	60.146815	35.205271	
8750000	120.878724	60.337408	68.995615	
8775000	125.776482	61.336347	63.902105	
8800000	128.675856	65.083093	47.219800	
8825000	121.124036	61.572872	30.746548	
8850000	121.392562	60.993672	83.130352	
8875000	131.159272	64.425544	30.979281	
8900000	131.682075	61.221308	64.774800	
8925000	127.983696	61.731661	57.501044	
8950000	131.178524	61.772559	31.356676	
8975000	123.108583	69.273112	71.905721	
9000000	123.770509	61.640611	31.252972	
9025000	128.946524	62.007930	31.929989	
9050000	129.421982	73.366357	89.804358	
9075000	131.288156	77.859693	48.436069	
9100000	126.473946	62.706489	31.594959	
9125000	129.231192	62.904214	75.325667	
9150000	132.239511	62.978819	72.169482	
9175000	131.088959	64.055052	32.046221	
9200000	131.193516	63.507403	65.331307	
9225000	126.935895	66.410234	61.741393	
9250000	126.880123	64.111250	68.937017	
9275000	129.561546	72.677261	59.486149	
9300000	127.854124	63.858471	65.423198	
9325000	129.864933	66.672296	64.027464	
9350000	130.336789	64.714904	74.980289	
9375000	136.007032	65.082526	61.464723	
9400000	134.663757	64.479226	64.637040	
9425000	130.093046	65.288219	72.119481	
9450000	134.256856	65.078179	33.133896	
9475000	130.837001	71.322774	69.534844	
9500000	135.914622	65.560140	33.237649	
9525000	133.547930	65.455737	33.856871	
9550000	133.433758	65.929484	67.372307	
9575000	133.365883	66.211819	72.298946	
9600000	135.411515	66.194584	72.943500	
9625000	139.473172	80.900572	75.853385	
9650000	136.006467	67.965937	69.492252	
9675000	137.710967	66.417812	52.446985	
9700000	133.497826	67.706686	75.820208	
9725000	133.659444	66.759427	69.785443	
9750000	137.878997	67.239947	48.532548	
9775000	137.758286	67.479975	60.879053	
9800000	141.399171	67.586052	42.606000	
9825000	138.301790	68.978962	49.296690	
9850000	139.438498	67.930132	47.180061	
9875000	149.024314	67.945017	83.493854	
9900000	137.394473	72.767626	76.975088	
9925000	139.693426	75.457675	58.013076	
9950000	145.473999	69.118882	84.707832	
9975000	139.564254	68.567180	56.064356	
10000000	140.576662	69.518551	51.983343
